time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
49.7,2723.09456508315,7.23198784722222,-0.504182127925337,0,0,0,0,1,1,0,1,0,1,1
49.8,2723.83213865445,7.216796875,-0.444307816265159,0,0,0,0,1,1,0,1,0,1,1
49.9,2724.56986644603,7.25345410297904,-0.370238650166561,0,0,0,0,1,1,0,1,0,1,1
50.0,2725.30486393594,7.32774422677825,-0.317075222538199,0,0,0,0,1,1,0,1,0,1,1
50.1,2726.03948814352,7.25613365817169,-0.294408133689537,0,0,0,0,1,1,0,1,0,1,1
50.2,2726.77317663976,7.27061393554966,-0.280815173089268,0,0,0,0,1,1,0,1,0,1,1
50.3,2727.50121583505,7.28288349560539,-0.272534822509459,0,0,0,0,1,1,0,1,0,1,1
50.4,2728.22859584232,7.29817708333333,-0.25029694922341,0,0,0,0,1,1,0,1,0,1,1
50.5,2728.9546108949,7.31553819444444,-0.242044237747641,0,0,0,0,1,1,0,1,0,1,1
50.6,2729.67882945826,7.33072916666667,-0.241360207152489,0,0,0,0,1,1,0,1,0,1,1
50.7,2730.39808258988,7.353515625,-0.249817057402551,0,0,0,0,1,1,0,1,0,1,1
50.8,2731.11668520174,7.38787239624775,-0.275261930095114,0,0,0,0,1,1,0,1,0,1,1
50.9,2731.83130441278,7.39471811095514,-0.313216662133914,0,0,0,0,1,1,0,1,0,1,1
51.0,2732.54439880458,7.39474826388889,-0.367365556979227,0,0,0,0,1,1,0,1,0,1,1
51.1,2733.25465657738,7.39051356099606,-0.416197156836136,0,0,0,0,1,1,0,1,0,1,1
51.2,2733.9619925052,7.37739862644839,-0.46811285378881,0,0,0,0,1,1,0,1,0,1,1
51.3,2734.67029960143,7.32855902777778,-0.508401347751503,0,0,0,0,1,1,0,1,0,1,1
51.4,2735.37762113454,7.31553819444444,-0.528121536224275,0,0,0,0,1,1,0,1,0,1,1
51.5,2736.08204836055,7.35026041666667,-0.560178017362949,0,0,0,0,1,1,0,1,0,0,1
51.6,2736.78544394599,7.30579143765042,-0.576654733403856,0,0,0,0,1,1,0,1,0,0,1
51.7,2737.4866558757,7.28650521051882,-0.588808865878786,0,0,0,0,1,1,0,1,0,0,1
51.8,2738.18710290125,7.28624131944444,-0.602646087740147,0,0,0,0,1,1,0,1,0,0,1
51.9,2738.88600074037,7.24182125444994,-0.638377196692898,0,0,0,0,1,1,0,1,0,0,1
52.0,2739.58333467555,7.21925868073172,-0.65884522379513,0,0,0,0,1,1,0,1,0,0,1
52.1,2740.28036975658,7.21245659722222,-0.640024484824543,0,0,0,0,1,1,0,1,0,0,1
52.2,2740.97791081737,7.20704679685845,-0.650194267180811,0,0,0,0,1,1,0,1,0,0,1
52.3,2741.67963703848,7.16037326388889,-0.651651116403641,0,0,0,0,1,1,0,1,0,0,1
52.4,2742.38168437545,7.14735243055556,-0.655443913416456,0,0,0,0,1,1,0,1,0,0,1
52.5,2743.08212907454,7.11703353812233,-0.638876860725019,0,0,0,0,1,1,0,1,0,0,1
52.6,2743.78392416819,7.11697048611111,-0.608953784742788,0,0,0,0,1,1,0,1,0,0,1
52.7,2744.48646129965,7.07256148401765,-0.606041251021157,0,0,0,0,1,1,0,1,0,0,1
52.8,2745.19159036564,7.04545385575113,-0.610638005873435,0,0,0,0,1,1,0,1,0,0,1
52.9,2745.89809379501,7.06041055134081,-0.608601723084964,0,0,0,0,1,1,0,1,0,0,1
53.0,2746.61033885494,7.0432366126185,-0.601076228279353,0,0,0,0,1,1,0,1,0,0,1
53.1,2747.32043230357,7.02587588200538,-0.610350036816597,0,0,0,0,1,1,0,1,0,0,1
53.2,2748.03276993234,7.00520833333333,-0.603829882030927,0,0,0,0,1,1,0,1,0,0,1
53.3,2748.74552747622,6.98681041128144,-0.600957958463792,0,0,0,0,1,1,0,1,0,0,1
53.4,2749.45553362814,6.98676215277778,-0.584939700658182,0,0,0,0,1,1,0,1,0,0,1
53.5,2750.16296596544,6.97048611111111,-0.57243479852778,0,0,0,0,1,1,0,1,0,0,1
53.6,2750.87189556343,6.94663260323755,-0.539744693289458,0,0,0,0,1,1,0,1,0,0,1
53.7,2751.58075869055,6.94444901553946,-0.501593121502151,0,0,0,0,1,1,0,1,0,0,1
53.8,2752.28896055757,6.95093298578208,-0.437169701040805,0,0,0,0,1,1,0,1,0,0,1
53.9,2752.9985680907,6.99311678784398,-0.374942998723601,0,0,0,0,1,1,0,1,0,0,1
54.0,2753.70470662715,7.00515246168412,-0.343986196509348,0,0,0,0,1,1,0,1,0,0,1
54.1,2754.40614482882,6.96614583333333,-0.327762593652536,0,0,0,0,1,1,0,1,0,0,1
54.2,2755.1073780678,6.98133680555556,-0.308650674429963,0,0,0,0,1,1,0,1,0,0,1
54.3,2755.80970806029,6.99110243055556,-0.305970676802944,0,0,0,0,1,1,0,1,0,0,1
54.4,2756.50862375914,7.02566029246098,-0.284663675527232,0,0,0,0,1,1,0,1,0,0,1
54.5,2757.20155991746,7.03772112739248,-0.308006920590832,0,0,0,0,1,1,0,1,0,0,1
54.6,2757.89700567802,7.06589353385209,-0.311252100109594,0,0,0,0,1,1,0,1,0,0,1
54.7,2758.58569336644,7.06061908199718,-0.345545829917399,0,0,0,0,1,1,0,1,0,0,1
54.8,2759.27124672595,7.08866413941052,-0.395422140241758,0,0,0,0,1,1,0,1,0,0,1
54.9,2759.95032715016,7.06597222222222,-0.435881443188579,0,0,0,0,1,1,0,1,0,0,1
55.0,2760.62697095596,7.0703125,-0.489007746176962,0,0,0,0,1,1,0,1,0,0,1
55.1,2761.29603313385,7.05078125,-0.531879111458081,0,0,0,0,1,1,0,1,0,0,1
55.2,2761.9600860842,6.99869791666667,-0.563942165151263,0,0,0,0,1,1,0,1,0,0,1
55.3,2762.62239824216,7.05839620040982,-0.571907775037512,0,0,0,0,1,1,0,1,0,0,1
55.4,2763.275643059,7.03567256100344,-0.602780984976661,0,0,0,0,1,1,0,1,0,0,1
55.5,2763.92441208475,7.03342958495908,-0.602394950745875,0,0,0,0,1,1,0,1,0,0,1
55.6,2764.5638595715,7.00902654237421,-0.614667009417324,0,0,0,0,1,1,0,1,0,0,1
55.7,2765.19984048023,6.99121252324854,-0.632042021531026,0,0,0,0,1,1,0,1,0,0,1
55.8,2765.82911978029,6.97048611111111,-0.663209160770841,0,0,0,0,1,1,0,1,0,0,1
55.9,2766.45798688535,6.962890625,-0.688949405310426,0,0,0,0,1,1,0,1,0,0,1
56.0,2767.07493436158,6.94552951388889,-0.745406415300047,0,0,0,0,1,1,0,1,0,0,1
56.1,2767.69037877656,6.90003454592714,-0.807186897376887,0,0,0,0,1,1,0,1,0,0,1
56.2,2768.30365708903,6.87947048484027,-0.869762791282291,0,0,0,0,1,1,0,1,0,0,1
56.3,2768.91449792262,6.87934027777778,-0.930609007845005,0,0,0,0,1,1,0,1,0,0,1
56.4,2769.52344456627,6.80358191366868,-0.975454487061113,0,0,0,0,1,1,0,1,0,0,1
56.5,2770.12975743506,6.75581822318897,-1.01990660465332,0,0,0,0,1,1,0,1,0,0,1
56.6,2770.73513284882,6.71332465277778,-1.06029525462892,0,0,0,0,1,1,0,1,0,0,1
56.7,2771.33923132422,6.67549605669419,-1.08472071602059,0,0,0,0,1,1,0,1,0,0,1
56.8,2771.94183999727,6.62326388888889,-1.09455311970301,0,0,0,0,1,1,0,1,0,0,1
56.9,2772.54640996028,6.572265625,-1.09429980895776,0,0,0,0,1,1,0,1,0,0,1
57.0,2773.1512147451,6.51475694444444,-1.08293808149296,0,0,0,0,1,1,0,1,0,0,1
57.1,2773.76118131174,6.46809895833333,-1.05251883486294,0,0,0,0,1,1,0,1,0,0,1
57.2,2774.37180099705,6.37279249930306,-1.03501508666364,0,0,0,0,1,1,0,1,0,0,1
57.3,2774.98262976021,6.31643284066828,-1.01903422684781,0,0,0,0,1,1,0,1,0,0,1
57.4,2775.59713168097,6.26024381034407,-0.996201833744342,0,0,0,0,1,1,0,1,0,0,1
57.5,2776.21658960687,6.22302958668892,-0.956926816146064,0,0,0,0,1,1,0,1,0,0,1
57.6,2776.84476179512,6.15803960438769,-0.911431540848067,0,0,0,0,1,1,0,1,0,0,1
57.7,2777.48116410564,6.13823784722222,-0.860581566371623,0,0,0,0,1,1,0,1,0,0,1
57.8,2778.12795221259,6.10568576388889,-0.810258727192634,0,0,0,0,1,1,0,1,0,0,1
57.9,2778.78134240055,6.08832465277778,-0.751274694490544,0,0,0,0,1,1,0,1,0,0,1
58.0,2779.44507822209,6.05801845176567,-0.700779437535376,0,0,0,0,1,1,0,1,0,0,1
58.1,2780.11569597273,6.0384881513986,-0.644414624080614,0,0,0,0,1,1,0,1,0,0,1
58.2,2780.79842110037,6.02112477414514,-0.60596777929486,0,0,0,0,1,1,0,1,0,0,1
58.3,2781.48713395911,6.00925451208592,-0.5807179778989,0,0,0,0,1,1,0,1,0,0,1
58.4,2782.18416676628,5.99638116688933,-0.528556842372393,0,0,0,0,1,1,0,1,0,0,1
58.5,2782.89342042266,6.01128472222222,-0.459127109339266,0,0,0,0,1,1,0,1,0,0,1
58.6,2783.60922481322,6.02105034722222,-0.337030381729518,0,0,0,0,1,1,0,1,0,0,1
58.7,2784.32937304513,6.03841145833333,-0.222268910107981,0,0,0,0,1,1,0,1,0,0,1
58.8,2785.06092593454,6.13064236111111,-0.117110002184542,0,0,0,0,1,1,0,1,0,0,1
58.9,2785.7978528358,6.09214614284538,-0.0130655271634576,0,0,0,0,1,1,0,1,0,0,1
59.0,2786.54331471572,6.1304463423507,0.0882985280077329,0,0,0,0,1,1,0,1,0,0,1
59.1,2787.29229279322,6.18243996550409,0.19538811000585,0,0,0,0,1,1,0,1,0,0,1
59.2,2788.0472982297,6.25611972273734,0.291678349190169,0,0,0,0,1,1,0,1,0,0,1
59.3,2788.80520337096,6.30836972965571,0.349009382355704,0,0,0,0,1,1,0,1,0,0,1
59.4,2789.56806837465,6.38780381944444,0.375876948853917,0,0,0,0,1,1,0,1,0,0,1
59.5,2790.33175838832,6.47026909722222,0.384471474840461,0,0,0,0,1,1,0,1,0,0,1
59.6,2791.10529908546,6.54188368055556,0.380041405733351,0,0,0,0,1,1,0,1,0,0,1
